ID,Section,Theme,Question,Suggested Owner,Status,Risk,Evidence,Decision,Dependencies
Q0001,I. Corporate Vision and Strategic Boundaries,company category,"What exact decision has been made about company category, and where is the authoritative record?",,,,,,
Q0002,I. Corporate Vision and Strategic Boundaries,company category,What evidence supports the current approach to company category?,,,,,,
Q0003,I. Corporate Vision and Strategic Boundaries,company category,"Who owns company category, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0004,I. Corporate Vision and Strategic Boundaries,company category,What is the smallest pilot capable of validating company category?,,,,,,
Q0005,I. Corporate Vision and Strategic Boundaries,long-term end state,"What exact decision has been made about long-term end state, and where is the authoritative record?",,,,,,
Q0006,I. Corporate Vision and Strategic Boundaries,long-term end state,What evidence supports the current approach to long-term end state?,,,,,,
Q0007,I. Corporate Vision and Strategic Boundaries,long-term end state,"Who owns long-term end state, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0008,I. Corporate Vision and Strategic Boundaries,long-term end state,Which data must be collected to manage long-term end state responsibly?,,,,,,
Q0009,I. Corporate Vision and Strategic Boundaries,primary customer problem,"What exact decision has been made about primary customer problem, and where is the authoritative record?",,,,,,
Q0010,I. Corporate Vision and Strategic Boundaries,primary customer problem,What evidence supports the current approach to primary customer problem?,,,,,,
Q0011,I. Corporate Vision and Strategic Boundaries,primary customer problem,"Who owns primary customer problem, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0012,I. Corporate Vision and Strategic Boundaries,primary customer problem,What would failure of primary customer problem look like in a live transaction?,,,,,,
Q0013,I. Corporate Vision and Strategic Boundaries,marketplace versus infrastructure boundary,"What exact decision has been made about marketplace versus infrastructure boundary, and where is the authoritative record?",,,,,,
Q0014,I. Corporate Vision and Strategic Boundaries,marketplace versus infrastructure boundary,What evidence supports the current approach to marketplace versus infrastructure boundary?,,,,,,
Q0015,I. Corporate Vision and Strategic Boundaries,marketplace versus infrastructure boundary,"Who owns marketplace versus infrastructure boundary, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0016,I. Corporate Vision and Strategic Boundaries,marketplace versus infrastructure boundary,"Which controls prevent abuse, error, or fraud related to marketplace versus infrastructure boundary?",,,,,,
Q0017,I. Corporate Vision and Strategic Boundaries,geographic ambition,"What exact decision has been made about geographic ambition, and where is the authoritative record?",,,,,,
Q0018,I. Corporate Vision and Strategic Boundaries,geographic ambition,What evidence supports the current approach to geographic ambition?,,,,,,
Q0019,I. Corporate Vision and Strategic Boundaries,geographic ambition,"Who owns geographic ambition, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0020,I. Corporate Vision and Strategic Boundaries,geographic ambition,What metric proves geographic ambition is improving rather than adding complexity?,,,,,,
Q0021,I. Corporate Vision and Strategic Boundaries,product scope boundary,"What exact decision has been made about product scope boundary, and where is the authoritative record?",,,,,,
Q0022,I. Corporate Vision and Strategic Boundaries,product scope boundary,What evidence supports the current approach to product scope boundary?,,,,,,
Q0023,I. Corporate Vision and Strategic Boundaries,product scope boundary,"Who owns product scope boundary, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0024,I. Corporate Vision and Strategic Boundaries,product scope boundary,What dependencies must exist before product scope boundary works end to end?,,,,,,
Q0025,I. Corporate Vision and Strategic Boundaries,defensible advantage,"What exact decision has been made about defensible advantage, and where is the authoritative record?",,,,,,
Q0026,I. Corporate Vision and Strategic Boundaries,defensible advantage,What evidence supports the current approach to defensible advantage?,,,,,,
Q0027,I. Corporate Vision and Strategic Boundaries,defensible advantage,"Who owns defensible advantage, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0028,I. Corporate Vision and Strategic Boundaries,defensible advantage,"What legal, regulatory, or contractual exposure is created by defensible advantage?",,,,,,
Q0029,I. Corporate Vision and Strategic Boundaries,software versus managed services,"What exact decision has been made about software versus managed services, and where is the authoritative record?",,,,,,
Q0030,I. Corporate Vision and Strategic Boundaries,software versus managed services,What evidence supports the current approach to software versus managed services?,,,,,,
Q0031,I. Corporate Vision and Strategic Boundaries,software versus managed services,"Who owns software versus managed services, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0032,I. Corporate Vision and Strategic Boundaries,software versus managed services,"Which part of software versus managed services belongs in software, and which part requires human operations?",,,,,,
Q0033,I. Corporate Vision and Strategic Boundaries,risk appetite,"What exact decision has been made about risk appetite, and where is the authoritative record?",,,,,,
Q0034,I. Corporate Vision and Strategic Boundaries,risk appetite,What evidence supports the current approach to risk appetite?,,,,,,
Q0035,I. Corporate Vision and Strategic Boundaries,risk appetite,"Who owns risk appetite, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0036,I. Corporate Vision and Strategic Boundaries,risk appetite,What is the expected cost to implement and operate risk appetite?,,,,,,
Q0037,I. Corporate Vision and Strategic Boundaries,definition of success,"What exact decision has been made about definition of success, and where is the authoritative record?",,,,,,
Q0038,I. Corporate Vision and Strategic Boundaries,definition of success,What evidence supports the current approach to definition of success?,,,,,,
Q0039,I. Corporate Vision and Strategic Boundaries,definition of success,"Who owns definition of success, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0040,I. Corporate Vision and Strategic Boundaries,definition of success,What is the expected revenue or strategic value created by definition of success?,,,,,,
Q0041,"II. Market Size, Segmentation, and Corridor Selection",total addressable market,"What exact decision has been made about total addressable market, and where is the authoritative record?",,,,,,
Q0042,"II. Market Size, Segmentation, and Corridor Selection",total addressable market,What evidence supports the current approach to total addressable market?,,,,,,
Q0043,"II. Market Size, Segmentation, and Corridor Selection",total addressable market,"Who owns total addressable market, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0044,"II. Market Size, Segmentation, and Corridor Selection",total addressable market,"How does total addressable market differ across commodities, countries, and buyer types?",,,,,,
Q0045,"II. Market Size, Segmentation, and Corridor Selection",serviceable market,"What exact decision has been made about serviceable market, and where is the authoritative record?",,,,,,
Q0046,"II. Market Size, Segmentation, and Corridor Selection",serviceable market,What evidence supports the current approach to serviceable market?,,,,,,
Q0047,"II. Market Size, Segmentation, and Corridor Selection",serviceable market,"Who owns serviceable market, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0048,"II. Market Size, Segmentation, and Corridor Selection",serviceable market,What information must the user see before making a decision involving serviceable market?,,,,,,
Q0049,"II. Market Size, Segmentation, and Corridor Selection",initial buyer segment,"What exact decision has been made about initial buyer segment, and where is the authoritative record?",,,,,,
Q0050,"II. Market Size, Segmentation, and Corridor Selection",initial buyer segment,What evidence supports the current approach to initial buyer segment?,,,,,,
Q0051,"II. Market Size, Segmentation, and Corridor Selection",initial buyer segment,"Who owns initial buyer segment, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0052,"II. Market Size, Segmentation, and Corridor Selection",initial buyer segment,"What information must remain hidden, restricted, or role-controlled within initial buyer segment?",,,,,,
Q0053,"II. Market Size, Segmentation, and Corridor Selection",initial supplier segment,"What exact decision has been made about initial supplier segment, and where is the authoritative record?",,,,,,
Q0054,"II. Market Size, Segmentation, and Corridor Selection",initial supplier segment,What evidence supports the current approach to initial supplier segment?,,,,,,
Q0055,"II. Market Size, Segmentation, and Corridor Selection",initial supplier segment,"Who owns initial supplier segment, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0056,"II. Market Size, Segmentation, and Corridor Selection",initial supplier segment,"What happens when data supporting initial supplier segment is missing, stale, disputed, or contradictory?",,,,,,
Q0057,"II. Market Size, Segmentation, and Corridor Selection",first commodity categories,"What exact decision has been made about first commodity categories, and where is the authoritative record?",,,,,,
Q0058,"II. Market Size, Segmentation, and Corridor Selection",first commodity categories,What evidence supports the current approach to first commodity categories?,,,,,,
Q0059,"II. Market Size, Segmentation, and Corridor Selection",first commodity categories,"Who owns first commodity categories, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0060,"II. Market Size, Segmentation, and Corridor Selection",first commodity categories,What fallback process applies when the normal workflow for first commodity categories fails?,,,,,,
Q0061,"II. Market Size, Segmentation, and Corridor Selection",first origin countries,"What exact decision has been made about first origin countries, and where is the authoritative record?",,,,,,
Q0062,"II. Market Size, Segmentation, and Corridor Selection",first origin countries,What evidence supports the current approach to first origin countries?,,,,,,
Q0063,"II. Market Size, Segmentation, and Corridor Selection",first origin countries,"Who owns first origin countries, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0064,"II. Market Size, Segmentation, and Corridor Selection",first origin countries,What service-level target applies to first origin countries?,,,,,,
Q0065,"II. Market Size, Segmentation, and Corridor Selection",first destination markets,"What exact decision has been made about first destination markets, and where is the authoritative record?",,,,,,
Q0066,"II. Market Size, Segmentation, and Corridor Selection",first destination markets,What evidence supports the current approach to first destination markets?,,,,,,
Q0067,"II. Market Size, Segmentation, and Corridor Selection",first destination markets,"Who owns first destination markets, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0068,"II. Market Size, Segmentation, and Corridor Selection",first destination markets,What audit trail must exist for actions involving first destination markets?,,,,,,
Q0069,"II. Market Size, Segmentation, and Corridor Selection",corridor selection model,"What exact decision has been made about corridor selection model, and where is the authoritative record?",,,,,,
Q0070,"II. Market Size, Segmentation, and Corridor Selection",corridor selection model,What evidence supports the current approach to corridor selection model?,,,,,,
Q0071,"II. Market Size, Segmentation, and Corridor Selection",corridor selection model,"Who owns corridor selection model, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0072,"II. Market Size, Segmentation, and Corridor Selection",corridor selection model,"What tests prove corridor selection model works under normal, edge, and hostile conditions?",,,,,,
Q0073,"II. Market Size, Segmentation, and Corridor Selection",competitive landscape,"What exact decision has been made about competitive landscape, and where is the authoritative record?",,,,,,
Q0074,"II. Market Size, Segmentation, and Corridor Selection",competitive landscape,What evidence supports the current approach to competitive landscape?,,,,,,
Q0075,"II. Market Size, Segmentation, and Corridor Selection",competitive landscape,"Who owns competitive landscape, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0076,"II. Market Size, Segmentation, and Corridor Selection",competitive landscape,"What manual workaround exists today for competitive landscape, and why is it insufficient?",,,,,,
Q0077,"II. Market Size, Segmentation, and Corridor Selection",expansion sequence,"What exact decision has been made about expansion sequence, and where is the authoritative record?",,,,,,
Q0078,"II. Market Size, Segmentation, and Corridor Selection",expansion sequence,What evidence supports the current approach to expansion sequence?,,,,,,
Q0079,"II. Market Size, Segmentation, and Corridor Selection",expansion sequence,"Who owns expansion sequence, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0080,"II. Market Size, Segmentation, and Corridor Selection",expansion sequence,What competing platform or offline process handles expansion sequence better today?,,,,,,
Q0081,III. Supplier Acquisition and Onboarding,supplier sourcing channels,"What exact decision has been made about supplier sourcing channels, and where is the authoritative record?",,,,,,
Q0082,III. Supplier Acquisition and Onboarding,supplier sourcing channels,What evidence supports the current approach to supplier sourcing channels?,,,,,,
Q0083,III. Supplier Acquisition and Onboarding,supplier sourcing channels,"Who owns supplier sourcing channels, and what authority, budget, and deadline does that owner hold?",,,,,,
Q0084,III. Supplier Acquisition and Onboarding,supplier sourcing channels,What would make users refuse to trust the platform’s handling of supplier sourcing channels?,,,,,,
Q0085,III. Supplier Acquisition and Onboarding,supplier qualification,"What exact decision has been made about supplier qualification, and where is the authoritative record?",,,,,,
Q0086,III. Supplier Acquisition and Onboarding,supplier qualification,What evidence supports the current approach to supplier qualification?,,,,,,
